Rank,Permutation,RawDV_mps,DV_WithMargin_mps
39,2 3 4 1 5,576.741937239296,692.090324687155
40,4 2 1 3 5,577.039987463785,692.447984956541
41,4 1 2 3 5,577.039987463789,692.447984956546
42,1 5 3 2 4,577.240525645324,692.688630774389
43,2 3 5 4 1,577.441486866344,692.929784239613
44,1 3 5 4 2,577.44148686635,692.929784239621
45,4 1 3 2 5,577.640467466135,693.168560959362
46,5 1 4 3 2,577.74052387514,693.288628650168
47,3 2 4 5 1,577.741458043666,693.289749652399
48,3 2 4 1 5,577.741464491531,693.289757389838
49,3 2 5 4 1,578.441014118579,694.129216942295
50,2 5 4 3 1,578.540984287298,694.249181144757
51,1 5 4 3 2,578.540984287304,694.249181144765
52,2 1 4 5 3,578.940970595816,694.729164714979
53,2 4 1 3 5,578.940988412053,694.729186094464
54,5 3 1 4 2,579.040559353091,694.84867122371
55,5 2 4 1 3,579.540509969179,695.448611963015
56,5 4 2 3 1,579.540521337555,695.448625605066
57,2 1 5 3 4,579.64051274406,695.568615292872
58,2 1 5 4 3,579.640526670729,695.568632004875
59,2 5 3 1 4,579.840990367562,695.809188441075
60,5 4 3 2 1,580.141001339902,696.169201607882
61,5 3 4 2 1,580.141005442547,696.169206531057
62,4 1 3 5 2,580.240925740515,696.289110888618
63,2 3 1 5 4,580.240992147098,696.289190576518
64,3 1 4 2 5,580.540999769284,696.649199723141
65,1 4 2 5 3,580.740968058237,696.889161669884
66,5 3 2 1 4,580.840531520465,697.008637824558
67,3 5 2 4 1,580.840547017488,697.008656420986
68,3 2 1 5 4,581.240519399333,697.4886232792
69,3 1 2 5 4,581.240519399337,697.488623279205
70,4 2 5 3 1,581.440447902533,697.72853748304
71,2 5 1 3 4,582.040045642965,698.448054771558
72,2 5 1 4 3,582.040059569634,698.44807148356
73,4 3 2 5 1,582.040927305575,698.44911276669
74,4 3 2 1 5,582.04093375344,698.449120504128
75,1 3 5 2 4,582.040994311474,698.449193173768
76,5 1 4 2 3,582.340045246932,698.808054296319
77,5 4 3 1 2,582.741466062147,699.289759274576
78,5 3 4 1 2,582.741470164792,699.289764197751
79,1 5 4 2 3,583.140505659096,699.768606790915
80,3 1 4 5 2,583.141458043664,699.769749652397
81,2 4 5 3 1,583.341448850802,700.009738620962
82,1 4 5 3 2,583.341448850808,700.00973862097
83,5 3 1 2 4,583.640066798215,700.368080157857
84,4 5 2 3 1,583.839980801442,700.60797696173
85,3 1 5 4 2,583.841014118577,700.609216942293
86,4 2 1 5 3,584.239967109956,701.087960531947
87,4 1 2 5 3,584.23996710996,701.087960531952
88,4 5 3 2 1,584.440460803788,701.328552964546
89,2 3 5 1 4,584.641459033712,701.569750840454
90,4 3 1 2 5,584.840469031189,701.808562837427
91,5 4 1 3 2,584.940521337549,701.928625605059
92,3 4 2 5 1,584.941455506079,701.929746607295
93,3 4 2 1 5,584.941461953944,701.929754344733
94,3 2 5 1 4,585.640986285947,702.769183543137
95,2 5 4 1 3,585.740970381334,702.889164457601
96,2 4 1 5 3,586.140968058225,703.369161669869
97,3 5 1 4 2,586.240547017482,703.488656420978
98,5 4 2 1 3,586.740507431592,704.08860891791
99,4 1 5 3 2,586.840447902531,704.208537483037
100,4 5 3 1 2,587.040925526033,704.44911063124
101,3 5 4 2 1,587.340993106938,704.809191728325
102,4 3 1 5 2,587.440927305569,704.929112766683
103,3 4 1 2 5,587.740997231693,705.289196678032
104,1 4 5 2 3,587.9409702226,705.52916426712
105,3 5 2 1 4,588.040519184856,705.648623021827
106,3 1 5 2 4,588.4405215637,706.128625876441
107,4 2 5 1 3,588.64043399657,706.368520795884
108,4 5 1 3 2,589.239980801436,707.087976961723
109,4 3 5 2 1,589.240929469938,707.089115363926
110,5 4 1 2 3,589.540042709341,707.448051251209
111,3 5 4 1 2,589.941457829182,707.929749395019
112,3 4 1 5 2,590.341455506073,708.409746607287
113,2 4 5 1 3,590.541434944839,708.649721933806
114,3 5 1 2 4,590.840054462605,709.008065355126
115,4 5 2 1 3,591.039966895479,709.247960274574
116,4 1 5 2 3,591.439969274323,709.727963129188
117,4 3 5 1 2,591.841394192183,710.20967303062
118,3 4 5 2 1,592.141457670442,710.569749204531
119,4 5 1 2 3,593.839502173228,712.607402607873
120,3 4 5 1 2,594.741922392687,713.690306871224
